letters,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
a,0.002845420850397163,0.14508552787482334,0.4192303160892156,0.16111619338523778,0.7841203333253235,0.1956589149512673,0.16166295840703124,1.2130803290053607,0.1771630922594628,0.02428173894461858,0.014311724978232512,0.4921529810353791,0.5469219558233261,0.22736444747904475,0.06822530511057728,0.28042850459801655,3.0463461448811612e-05,0.53795115720809,0.31535839764744067,0.4197348513390536,0.08859966187296259,0.10074156176091802,0.5703095012215327,0.01621716498585257,0.019231504924071715,0.011245760640490892
b,0.20463350135139272,0.01669336668367787,0.0003057859168860304,0.001152511265432081,0.02480563910078947,0.00010031297793027045,0.0005094282850291067,0.006094430756383174,0.07016665423998829,2.4741488531177686e-05,0.0007274734461700905,0.006552084972578076,0.07873594765697595,0.005738517133091955,0.07669602401625553,0.0019488095689494868,7.230179058901623e-06,0.0224493951262421,0.009967469588086678,0.0014039326830885997,0.07088342057385778,0.0001854517902560308,0.0012938911998959534,0.00011902164189637734,0.005389948819099431,0.00014487989375353187
c,0.37783425976516977,0.0007623233697549555,0.07017770674300827,0.0012768173853348848,0.3230447802815158,0.00021122945094533135,9.197754856937111e-05,0.0006122971542827468,0.49466359163543877,2.727435380658908e-05,0.00026304957187545265,0.00895443860816191,0.0024363976474901594,0.34330000027176494,0.10920160809336757,0.0001852675818723645,1.7304075040651494e-05,0.09405631715299717,0.12552821588516588,0.03916077969244733,0.15031728774444936,2.8989794379481343e-05,0.0005511054318336032,0.030004690469290732,0.0036410053464278618,0.00011950518890350135
d,0.48904645631415894,0.0018641773296788088,0.001796929756616636,0.04987816161043945,1.3006822146551709,9.325549423105596e-05,0.003775512005576186,0.003058020351196012,0.3351384981641185,5.49631764764273e-05,0.00043933699504408583,0.34328115345151106,0.001011315539351875,1.565681678323827,0.17863195839779378,0.00030812306075379635,6.619988788007059e-06,0.2326044736998878,0.006334857236139611,0.0005034645386079108,0.07443726081573955,0.0003615434920170186,0.007140849505847454,7.017188115287483e-05,0.004845348245814043,8.460921322271978e-05
e,0.011161692539395193,0.6311631897736246,0.5782099685365001,0.7031156406760417,0.4664374906755659,0.23880428316475202,0.35334968436408665,3.767716099544997,0.3511234915084077,0.04385811650198552,0.29392940183647,0.862316147462318,0.8079779324665505,0.7487096909336024,0.042773416947790584,0.4223951312508422,2.102278178591459e-05,1.7952982229625036,0.9082760931349598,1.0397370048156498,0.12412876176840516,0.8729264006921842,0.45529120256225475,0.017808621803513443,0.12865663837799435,0.036657997948693434
f,0.08636890985978787,6.279203278224434e-05,0.0013392985664696924,0.004966787622746041,0.15399564134066557,0.12588674296490035,0.0007614598929565197,0.0047168398721588525,0.19938891597305394,8.865028463939888e-06,0.0030397722081890706,0.08460478070848781,0.006057393358242271,0.04965308199164721,1.1457297028655506,0.0007069917765111956,3.879889080971094e-06,0.030897686661208956,0.012390270354257469,0.00941051554007167,0.021967667176906812,3.4193681218053853e-06,0.0032921031547399416,0.0009953009229968874,0.0013081443235821322,9.970278765937588e-06
g,0.1918252852006444,7.737903416381817e-05,0.0003741387402502007,0.0315251119290003,0.09145317637921709,0.0003015030719657893,0.02787069390963674,0.00020998604435558388,0.2723120184141286,1.5554095395821803e-05,0.0007016612464088525,0.005985759323044045,0.00016310501071251478,1.0420721339042194,0.05058879150252805,0.00020965216666018877,0.0,0.07480786505762815,0.004259565585755262,0.0008634422593637659,0.17659089496769942,4.233338917130775e-05,0.00024453662931699116,2.1460276697122013e-05,0.0013159962059359077,0.00014044737952156194
h,0.0185376610209447,0.0007319059604020604,0.5984681473739117,0.0036780657706167222,0.02511265691124127,0.00015818894947342084,0.3273404852495416,0.00039977824465175154,0.0012708421258897098,5.125598275514335e-05,0.002277264630050449,0.0013510188248804598,0.00039497731365244903,0.009855079448002286,0.027807614051255015,0.06022609058894087,1.2434065897474129e-06,0.018181528650197877,0.4593837026570487,4.039501995789327,0.0010268350956757592,1.885833327783576e-05,0.5380733679576285,0.004442139120016507,0.001359503923553088,0.00013916943385987708
i,0.4190404893498475,0.0827136168506019,0.17853912888544995,0.39110384883885824,0.20458202662118197,0.2397036230328828,0.13945874463944896,1.054590325467909,0.026856039593330914,0.0035039427959561676,0.1250935646908813,0.5743746118322802,0.28353527109274024,0.268796136612306,0.09374521221903277,0.13412905498785638,1.2111701226058132e-05,0.6489705566575243,0.4390116139603873,0.8370220798322373,0.1010441700831858,0.20380572644031633,0.47722551650869405,0.027461843402089424,0.03368167401565342,0.00898867834147588
j,0.00789806109295567,0.017631574520762187,3.8407447994420085e-05,0.003102414571659587,0.0051693592796590564,4.191892030805861e-05,1.1397893739351284e-05,6.004042005122924e-05,0.0006632537984144325,3.3652569091034147e-05,2.9070385547335344e-05,6.0581532178248946e-05,9.314036399126452e-06,0.010684132304740353,0.0022881098986388014,6.912419597077284e-05,0.0,0.000830296263327814,0.00017198155220043382,9.180485320968398e-05,0.0003660796234648008,3.438940262569928e-05,1.0246591341437014e-05,5.134808694697649e-06,3.0244713993207904e-05,1.656724150598636e-05
k,0.1384332911066507,0.000124075859423221,0.1606448271574837,0.0008977740968695695,0.025380185049444608,6.147954804862208e-06,9.144794946633056e-05,0.00018501429534482336,0.058374243707943724,6.677553907902772e-06,0.0003027119394835993,0.030634211107446283,0.00010443464051480353,0.07503950710008851,0.10342071151900839,0.0006809493162703748,2.9703601866188196e-06,0.07922024301065858,0.047449615845303064,0.0004021038754955384,0.005696529134640022,3.258185786097387e-06,0.0019939751620196636,2.5674043473488247e-06,0.0004951636483189488,9.304825979943139e-05
l,0.8180931832304333,0.22193872769444212,0.12774731671807368,0.046813532783479404,0.5546542754230781,0.0756096665866076,0.08025740528884363,0.011284674661540393,0.4688873009959918,1.6463624290174075e-05,0.014776759042798045,0.7233943242091603,0.005261302289156489,0.07376156143840366,0.310025967896141,0.2196369403233161,2.095370364203973e-06,0.0940178291138349,0.0712571678712927,0.15334865544513365,0.36812668518038827,0.00017150951821728896,0.018477989017660804,0.0009754179305849079,0.012723123390518464,0.0023648787425317253
m,0.2886558496897997,0.002547037807929721,0.0004747740828518871,0.01638570414388324,0.3331689536389826,0.00021441855858755384,0.006487404803863251,0.012669518750871576,0.36416638913994687,2.4810566675052543e-05,0.0023404711316959426,0.026898534164837926,0.07116515578365139,0.013663357519823111,0.5408994239016928,0.003980006337493719,1.7085327585047782e-05,0.13154653404002292,0.060689006257094245,0.015019603257590103,0.10425707514597321,1.1455458859246997e-05,0.0009585513504554639,9.55580990268845e-05,0.015338928490675604,0.00011159574142983031
n,2.128544544122626,0.0008638452152030359,0.0004956817343980103,0.02192037167440049,1.3733020179925388,0.001314257739315057,0.046285418860532154,0.015162249624691681,2.323175541753964,0.00011304638245120229,0.08576818329460417,0.005369386558272682,0.011407587705541723,0.08617877226877232,1.4644213397024088,0.000912257481035331,9.337062447084739e-06,0.16512977170065468,0.022174613782931903,0.015253686061134033,0.4157783776225732,0.0008844650411496805,0.11291725237425221,1.0396260653165869e-05,0.008526534045929112,5.003560221335422e-05
o,0.003999774199665906,0.21472120144889356,0.639693431013275,0.25672447768364737,0.05357667451164312,0.49787093590764425,0.1817491902313145,0.5986152492812933,0.48011898120815616,0.05141557629354223,0.005327939671947768,0.4206058691681956,0.3443711144576645,0.5664607894094971,0.3215685918599341,0.31029492364931777,6.101902708945637e-06,0.6660433695855067,0.41261869726964145,1.1604045140810135,0.010983793292869479,0.06523453233244346,0.27165355403368946,0.002249403112020924,0.28207909230683426,0.004708838320493348
p,0.18697238441110006,9.591500277023792e-05,0.00039886871575739924,0.0010158056187037406,0.15892313501257077,0.00023270124066643248,0.00020921467174898136,0.0002859720026179258,0.07423352634340463,0.0001173637664433808,0.00019964734882231376,0.019463262096771856,0.16820963225833913,0.0037157939501963723,0.1729512366450771,0.1324809080401222,9.314036399126452e-06,0.03524957518625297,0.1807279159262207,0.0012732368348773715,0.1669650743661938,0.0003849840088385531,0.0004699501258046263,0.045625411734879835,0.009103681938003537,5.2798727968348476e-05
q,0.0010514038888472497,1.4621540453511242e-06,0.006434652127990819,0.0005935309251967442,0.02866579485866031,5.3190170783639325e-06,1.2894586856639837e-06,0.00036552699831380193,0.005527034395619083,1.2664326377056983e-06,0.0008211549222883747,0.00013336686977438917,5.936115163645982e-05,0.010253165278129103,0.002055777074739702,9.763044334313018e-06,0.0003012037333423316,0.0016164055406236784,0.011351127835948006,9.84133289737119e-05,0.00041017450530491734,0.0,3.7877848891379517e-06,0.0008407270630529174,0.0,1.8190577887045485e-05
r,1.0529962436807812,0.14232343829198724,0.13276803134513804,0.10665821991403925,2.1462013091398546,0.2363924543104334,0.1957614038907296,0.09481083469249427,0.3648348813642718,0.0002184711430282121,0.0016343313189592034,0.011955031995749958,0.04788044471562656,0.009057088729959946,1.160960040514055,0.33311818120323455,2.8229934796857926e-05,0.13818350453839923,0.0031293089956748632,0.35157892371097466,0.5451619368215868,0.001401860338772354,0.03476338018361377,3.845350009033665e-06,0.010078846582060904,0.0002015700238268306
s,0.996385219595243,0.036926815545582435,0.008700438273134064,0.14838724440458587,1.15654021363451,0.005417315277097853,0.06356025082027662,0.01777242485612302,1.1234657940686366,7.575569778275905e-05,0.052735452388559104,0.11353729779367291,0.08804787717271421,0.3868686217857949,0.28552028912210414,0.05222324946475102,2.5052340178614542e-05,0.4112630502091213,0.37785125298856304,0.27246011044157226,0.46553313112898026,0.000583756367838452,0.03706324487973528,0.00026681433071663234,0.09515213828835595,0.00019004548682370872
t,1.3437891178555412,0.018705083415649394,0.2672757612046924,0.0023090175501849245,0.4250182240951781,0.10506227301702649,0.015061073169962975,0.21120750712162709,1.1411522742007554,1.7810648095733774e-05,0.0005575757513098815,0.09253503221648916,0.0014701210579446912,0.8776175780338935,0.48126164883808603,0.09110455050010466,1.7430718304422064e-05,0.3406553320204921,1.0187766466457502,0.237019177283762,0.48763995622672296,0.00032213441093641306,0.0029042063508346655,0.03631731605612662,0.018865033857791622,0.00022790030966712997
u,0.12930195488504928,0.24666442035672043,0.11719081779716613,0.08676928678168654,0.025229065096694377,0.10366591590371618,0.07402421956746383,0.09669236214930964,0.015632879018911076,0.05881898031123403,0.0022026947737375418,0.10080595410403335,0.11336418796512253,0.05903540213599395,1.2208987775375004,0.08723282415313478,0.13580094179103552,0.12991866152751602,0.2640633281758881,0.19940094708311212,0.00032924945975552325,0.002493697967834353,0.0018164213062133248,0.002508872133438863,0.0011495409052454623,0.0013076032114551126
v,0.2667315405611983,0.0016288741455930897,0.00010931616268196003,0.017877515739004635,0.24963655354903205,1.329754269590983e-05,6.240058996695349e-05,0.00018242386494951625,0.21932405087063495,4.7894179753233675e-06,7.500735122411476e-05,0.032515439225638196,0.00014729762878915183,0.03391731107743454,0.1702662037317334,4.3346535281472306e-05,9.736564379160991e-05,0.0519338005288914,0.0008128194929274754,0.0003190834595819403,0.004717012567518539,0.0001611132575641231,3.405552493030414e-05,0.003818777949689804,0.0007389404180533166,0.00017940745266698086
w,0.08637868441714616,0.00026389002262593007,0.00011849204279333678,0.009072424077900165,0.11347216861702292,0.00017953409593075143,0.0012106865755986893,0.004708147539054599,0.000471216558442332,2.525957461023911e-05,0.0026237836257746866,0.017862214930136355,0.0005528438984544539,0.008028020107632233,0.43929458106374664,0.0015710442261458561,0.0,0.017611288572510937,0.04382548859202862,0.07944928310969963,0.00013099518683468576,5.468686390092788e-06,6.835282336417027e-05,0.00021201233657591303,0.003753453051632148,0.00011775520925867164
x,0.009476980227503259,4.018045368720806e-06,0.00021037748717087478,1.0845268588352434e-05,0.15333600263178057,9.624888046563306e-06,7.115048819110195e-06,6.7696580997359136e-06,0.02207696031354081,1.4161019494345534e-06,0.0,0.0006209088962191455,4.340410040136802e-06,0.004645459123488168,0.011082908916305919,7.886421425712756e-06,0.0,0.00018497975627288594,4.639748663594513e-06,1.4897853029010668e-05,0.004229608697361532,1.1743284458725565e-06,0.0,0.005766539833457189,0.00023110093033333162,1.2088675178099846e-06
y,0.28115414747337397,0.1748826039826982,0.02438502228273547,0.06229691518602131,0.2115843514225124,0.005717713098761644,0.011113026987035356,0.04787731317310424,0.0002179070048532341,2.7239814734651656e-05,0.008328291286032253,0.4434946588546017,0.12951217118988442,0.1126957993580134,0.04607091971077674,0.01233575618571623,2.7861518029525364e-06,0.260536704722693,0.030132934043394403,0.1766312596297703,0.0035569027062602237,0.007189871961950644,0.0037419745667249434,0.0007840369329796187,4.141234725297633e-05,0.001706587057452303
z,0.0151028999860792,2.5789173713279674e-06,0.00035353042732753524,0.0002293394376645228,0.00541936459536614,2.2507961879224e-05,0.00011349539038638883,1.6118233570799797e-05,0.031562471691812616,0.0,8.082142833358183e-06,0.0003517113695388307,4.681195549919426e-05,0.003249861869760467,0.0044393414551895756,0.00019130040643743532,0.0,0.0006476306248747358,0.00020477064449303225,0.0030219270210213997,0.003007696923383179,6.4818325002573465e-06,8.611741936398748e-06,0.0,0.0005463735789781757,0.004216564441193164
